"Onegram" "Freq"
"63449" "the" 65467
"64368" "to" 35711
"3898" "and" 34062
"10" "a" 31559
"44776" "of" 28033
"31838" "in" 21922
"31228" "i" 19469
"63405" "that" 14056
"33194" "is" 13715
"24766" "for" 13585
"33299" "it" 11665
"45132" "on" 10289
"71339" "you" 9699
"70119" "with" 9652
"68754" "was" 8713
"5324" "at" 7222
"63774" "this" 6972
"5033" "as" 6853
"6852" "be" 6835
"42514" "my" 6786
"29124" "have" 6628
"10210" "but" 6448
"29223" "he" 6150
"4735" "are" 6121
"68961" "we" 5412
"25479" "from" 5276
"44126" "not" 5272
"58906" "so" 4584
"10306" "by" 4495
"54965" "said" 4365
"30069" "his" 4300
"63632" "they" 4269
"45485" "or" 4206
"69848" "will" 4031
"3822" "an" 3953
"3293" "all" 3913
"1887" "about" 3746
"33360" "its" 3736
"39804" "me" 3700
"45170" "one" 3681
"67057" "up" 3673
"29026" "has" 3651
"45801" "out" 3484
"34343" "just" 3460
"69463" "when" 3375
"69412" "what" 3345
"31427" "if" 3325
"69633" "who" 3311
"28337" "had" 3167
"10684" "can" 3164
"71390" "your" 3163
"29628" "her" 3141
"37079" "like" 3105
"41765" "more" 3091
"63484" "their" 2958
"69311" "were" 2929
"57118" "she" 2821
"18984" "do" 2809
"70545" "would" 2723
"63575" "there" 2682
"59129" "some" 2619
"7061" "been" 2598
"64164" "time" 2529
"26522" "get" 2500
"45792" "our" 2409
"43329" "new" 2383
"43739" "no" 2325
"63495" "them" 2140
"69495" "which" 2106
"30752" "how" 2074
"44242" "now" 2047
"31576" "im" 1929
"67222" "us" 1922
"27178" "good" 1909
"35324" "know" 1895
"3511" "also" 1890
"47449" "people" 1884
"32889" "into" 1882
"2734" "after" 1844
"24054" "first" 1842
"63382" "than" 1836
"16699" "day" 1825
"45743" "other" 1781
"6982" "because" 1683
"45972" "over" 1662
"71135" "year" 1660
"6002" "back" 1654
"29986" "him" 1640
"63517" "then" 1636
"65980" "two" 1598
"45271" "only" 1593
"38607" "make" 1584
"36148" "last" 1574
"26989" "go" 1573
"15140" "could" 1560
"42145" "much" 1501
"56288" "see" 1498
"63711" "think" 1486
"27093" "going" 1467
"37905" "love" 1458
"22136" "even" 1456
"68915" "way" 1443
"19242" "dont" 1427
"69199" "well" 1398
"3582" "am" 1389
"51928" "really" 1367
"41892" "most" 1298
"67841" "very" 1284
"70405" "work" 1280
"71162" "years" 1279
"64597" "too" 1266
"38941" "many" 1256
"27304" "got" 1254
"44784" "off" 1250
"63832" "those" 1243
"69472" "where" 1240
"4321" "any" 1228
"60646" "still" 1224
"18098" "did" 1222
"68642" "want" 1221
"27639" "great" 1213
"7100" "before" 1182
"63618" "these" 1163
"37370" "little" 1154
"53794" "right" 1152
"55500" "say" 1121
"19441" "down" 1115
"63959" "through" 1098
"69502" "while" 1097
"7177" "being" 1092
"38407" "made" 1092
"62475" "take" 1062
"39534" "may" 1056
"57475" "should" 1056
"29651" "here" 1048
"43059" "need" 1038
"64402" "today" 1038
"30308" "home" 1008
