"Onegram" "Freq"
"34219" "the" 21774
"34729" "to" 11879
"1898" "and" 11254
"12" "a" 10544
"23963" "of" 9278
"17177" "in" 7247
"16833" "i" 6535
"34194" "that" 4748
"13387" "for" 4586
"17967" "is" 4575
"18025" "it" 3933
"24132" "on" 3499
"38317" "you" 3267
"37738" "with" 3259
"37048" "was" 2862
"22802" "my" 2356
"2687" "at" 2306
"34400" "this" 2294
"2519" "as" 2255
"3500" "be" 2242
"15691" "have" 2209
"5273" "but" 2161
"2356" "are" 2057
"15757" "he" 1967
"37141" "we" 1834
"13776" "from" 1741
"23597" "not" 1727
"5328" "by" 1527
"31659" "so" 1514
"29533" "said" 1446
"34319" "they" 1414
"16209" "his" 1396
"24311" "or" 1388
"1563" "all" 1326
"37584" "will" 1313
"1856" "an" 1286
"758" "about" 1247
"18059" "its" 1236
"24148" "one" 1232
"36130" "up" 1213
"15636" "has" 1183
"18577" "just" 1178
"21404" "me" 1172
"37365" "what" 1165
"24492" "out" 1127
"16935" "if" 1089
"37391" "when" 1075
"37473" "who" 1070
"15986" "her" 1063
"19946" "like" 1053
"38342" "your" 1032
"22430" "more" 1026
"5520" "can" 1023
"37325" "were" 969
"15275" "had" 958
"34237" "their" 949
"10196" "do" 935
"30704" "she" 924
"37949" "would" 895
"34286" "there" 877
"31785" "some" 876
"3620" "been" 872
"14327" "get" 834
"34633" "time" 825
"23213" "new" 820
"24486" "our" 791
"23416" "no" 776
"16588" "how" 718
"34241" "them" 694
"23666" "now" 692
"37411" "which" 678
"17009" "im" 673
"36224" "us" 671
"14652" "good" 656
"8910" "day" 649
"19015" "know" 643
"34176" "than" 626
"1278" "after" 622
"1681" "also" 616
"25402" "people" 616
"17788" "into" 598
"38226" "year" 598
"24463" "other" 589
"12991" "first" 582
"24580" "over" 565
"3573" "because" 558
"16167" "him" 549
"35592" "two" 537
"34256" "then" 533
"24198" "only" 527
"14609" "going" 523
"22623" "much" 522
"19410" "last" 518
"20410" "love" 517
"34365" "think" 516
"3074" "back" 515
"20763" "make" 515
"8053" "could" 507
"14557" "go" 505
"10342" "dont" 503
"11910" "even" 495
"30251" "see" 488
"27851" "really" 487
"37275" "well" 471
"1726" "am" 470
"37129" "way" 468
"14712" "got" 457
"22486" "most" 446
"36993" "want" 428
"23968" "off" 424
"34434" "those" 424
"36548" "very" 423
"37395" "where" 422
"32644" "still" 418
"14902" "great" 417
"37877" "work" 415
"20955" "many" 412
"34841" "too" 412
"2117" "any" 400
"3640" "before" 400
"20110" "little" 399
"38242" "years" 399
"29817" "say" 394
"28923" "right" 392
"9694" "did" 389
"37416" "while" 382
"20659" "made" 378
"34310" "these" 375
"30905" "should" 363
"23077" "need" 357
"3682" "being" 356
"10439" "down" 349
"15999" "here" 345
"33671" "take" 339
"34507" "through" 334
"21285" "may" 330
"34745" "today" 328
"16339" "home" 316
"2438" "around" 311
"23205" "never" 311
"34353" "things" 304
"11941" "every" 303
"2032" "another" 298
"19887" "life" 297
"31804" "something" 297
"3831" "best" 295
"7155" "come" 295
"37212" "week" 295
"29956" "school" 294
"12790" "few" 288
"32480" "state" 287
"37909" "world" 286
"23333" "night" 284
"34210" "thats" 284
"174" "—" 283
"20271" "long" 283
"24701" "own" 278
"23262" "next" 277
"34466" "three" 276
"167" "–" 275
"31143" "since" 273
"12690" "feel" 271
"37511" "why" 270
"36238" "use" 268
"1720" "always" 266
"20376" "lot" 265
"20313" "look" 259
"18033" "it’s" 257
"3949" "big" 250
"25935" "place" 248
"1301" "again" 247
"36096" "until" 247
"33081" "such" 244
"14030" "game" 243
"30924" "show" 243
"20841" "man" 241
"5570" "cant" 239
"10880" "each" 239
"34163" "th" 238
"29611" "same" 236
